Date,Event,PPV Buys,,
2/21/2010,UFC 110: Nogueira vs. Velasquez,"240,000",,
3/27/2010,UFC 111: St-Pierre vs. Hardy,"770,000",,
4/10/2010,UFC 112: Invincible,"500,000",,
5/8/2010,UFC 113: Machida vs. Shogun 2,"520,000",,
5/29/2010,UFC 114: Rampage vs. Evans,"1,050,000",,
6/12/2010,UFC 115: Liddell vs. Franklin,"520,000",,
7/3/2010,UFC 116: Lesnar vs. Carwin,"1,160,000",,
8/7/2010,UFC 117: Silva vs. Sonnen,"600,000",,
8/28/2010,UFC 118: Edgar vs. Penn 2,"570,000",,
9/25/2010,UFC 119: Mir vs. Cro Cop,"295,000",,
10/23/2010,UFC 121: Lesnar vs. Velasquez,"1,050,000",,
11/20/2010,UFC 123: Rampage vs. Machida,"500,000",,
12/11/2010,UFC 124: St-Pierre vs. Koscheck 2,"800,000",,
1/1/2011,UFC 125: Resolution,"270,000",,
2/5/2011,UFC 126: Silva vs. Belfort,"725,000",,
2/27/2011,UFC 127: Penn vs. Fitch,"260,000",,
3/19/2011,UFC 128: Shogun vs. Jones,"2,140,000",,
4/30/2011,UFC 129: St-Pierre vs. Shields,"800,000",,
5/28/2011,UFC 130: Rampage vs. Hamill,"325,000",,
6/11/2011,UFC 131: dos Santos vs. Carwin,"330,000",,
7/2/2011,UFC 132: Cruz vs. Faber,"350,000",,
8/6/2011,UFC 133: Evans vs. Ortiz,"310,000",,
8/27/2011,UFC 134: Silva vs. Okami,"335,000",,
9/24/2011,UFC 135: Jones vs. Rampage,"520,000",,
10/8/2011,UFC 136: Edgar vs. Maynard III,"225,000",,
10/29/2011,UFC 137: Penn vs. Diaz,"280,000",,
11/19/2011,UFC 139: Shogun vs. Henderson,"290,000",,
12/10/2011,UFC 140: Jones vs. Machida,"485,000",,
12/30/2011,UFC 141: Lesnar vs. Overeem,"750,000",,
1/14/2012,UFC 142: Aldo vs. Mendes,"235,000",,
2/4/2012,UFC 143: Diaz vs. Condit,"400,000",,
2/26/2012,UFC 144: Edgar vs. Henderson,"375,000",,
4/21/2012,UFC 145: Jones vs. Evans,"700,000",,
5/26/2012,UFC 146: dos Santos vs. Mir,"560,000",,
6/23/2012,UFC 147: Silva vs. Franklin II,"140,000",,
7/7/2012,UFC 148: Silva vs. Sonnen II,"925,000",,
7/21/2012,UFC 149: Faber vs. Barão,"235,000",,
8/11/2012,UFC 150: Henderson vs. Edgar II,"190,000",,
9/22/2012,UFC 152: Jones vs. Belfort,"450,000",,
10/13/2012,UFC 153: Silva vs. Bonnar,"410,000",,
11/17/2012,UFC 154: St-Pierre vs. Condit,"700,000",,
12/29/2012,UFC 155: dos Santos vs. Velasquez 2,"590,000",,
2/2/2013,UFC 156: Aldo vs. Edgar,"330,000",,
2/23/2013,UFC 157: Rousey vs. Carmouche,"450,000",,
3/16/2013,UFC 158: St-Pierre vs. Diaz,"950,000",,
4/27/2013,UFC 159: Jones vs. Sonnen,"550,000",,
5/25/2013,UFC 160: Velasquez vs. Bigfoot 2,"380,000",,
6/15/2013,UFC 161: Evans vs. Henderson,"140,000",,
7/6/2013,UFC 162: Silva vs. Weidman,"550,000",,
8/3/2013,UFC 163: Aldo vs. Korean Zombie,"180,000",,
8/31/2013,UFC 164: Henderson vs. Pettis 2,"270,000",,
9/21/2013,UFC 165: Jones vs. Gustafsson,"310,000",,
10/19/2013,UFC 166: Velasquez vs. dos Santos III,"330,000",,
11/16/2013,UFC 167: St-Pierre vs. Hendricks,"630,000",,
12/28/2013,UFC 168: Weidman vs. Silva 2,"1,025,000",,
2/1/2014,UFC 169: Barão vs. Faber 2,"230,000",,
2/22/2014,UFC 170: Rousey vs. McMann,"340,000",,
3/15/2014,UFC 171: Hendricks vs. Lawler,"300,000",,
4/26/2014,UFC 172: Jones vs. Teixeira,"350,000",,
5/24/2014,UFC 173: Barão vs. Dillashaw,"215,000",,
6/14/2014,UFC 174: Johnson vs. Bagautinov,"115,000",,
7/5/2014,UFC 175: Weidman vs. Machida,"545,000",,
8/30/2014,UFC 177: Dillashaw vs. Soto,"125,000",,
9/27/2014,UFC 178: Johnson vs. Cariaso,"205,000",,
10/25/2014,UFC 179: Aldo vs. Mendes 2,"180,000",,
11/15/2014,UFC 180: Werdum vs. Hunt,"185,000",,
12/6/2014,UFC 181: Hendricks vs. Lawler II,"400,000",,
12/12/2015,UFC 194: Aldo vs. McGregor,"1,200,000",,
11/14/2015,UFC 193: Rousey vs. Holm,"1,100,000",,
8/1/2015,UFC 190: Rousey vs. Correia,"900,000",,
7/11/2015,UFC 189: Mendes vs. McGregor,"825,000",,
1/3/2015,UFC 182: Jones vs. Cormier,"800,000",,
1/31/2015,UFC 183: Silva vs. Diaz,"650,000",,
2/28/2015,UFC 184: Rousey vs. Zingano,"600,000",,
5/23/2015,UFC 187: Johnson vs. Cormier,"375,000",,
3/14/2015,UFC 185: Pettis vs. dos Anjos,"310,000",,
6/13/2015,UFC 188: Velasquez vs. Werdum,"300,000",,
10/3/2015,UFC 192: Cormier vs. Gustafsson,"250,000",,
4/25/2015,UFC 186: Johnson vs. Horiguchi,"125,000",,
9/5/2015,UFC 191: Johnson vs. Dodson 2,"115,000",,
1/2/2016,UFC 195: Lawler vs. Condit,"300,000",,
3/5/2016,UFC 196: McGregor vs. Diaz,"1,317,000",,
4/23/2016,UFC 197: Jones vs. Saint Preux,"410,000",,
5/14/2016,UFC 198: Werdum vs. Miocic,"217,000",,
6/4/2016,UFC 199: Rockhold vs. Bisping 2,"300,000",,
7/9/2016,UFC 200: Tate vs. Nunes,"1,009,000",,
7/30/2016,UFC 201: Lawler vs. Woodley,"240,000",,
8/20/2016,UFC 202: Diaz vs. McGregor 2,"1,650,000",,
9/10/2016,UFC 203: Miocic vs. Overeem,"450,000",,
10/8/2016,UFC 204: Bisping vs. Henderson 2,"290,000",,
11/12/2016,UFC 205: Alvarez vs. McGregor,"1,300,000",,
12/10/2016,UFC 206: Holloway vs. Pettis,"150,000",,
12/30/2016,UFC 207: Nunes vs. Rousey,"1,100,000",,
2/11/2017,UFC 208: Holm vs. de Randamie,N/A,,
3/4/2017,UFC 209: Woodley vs. Thompson 2,"300,000",,
4/8/2017,UFC 210: Cormier vs. Johnson 2,"300,000",,
5/13/2017,UFC 211: Miocic vs. dos Santos 2,"350,000",,
6/3/2017,UFC 212: Aldo vs. Holloway,"167,000",,
7/8/2017,UFC 213: Romero vs. Whittaker,"150,000",,
7/29/2017,UFC 214: Cormier vs. Jones 2,"860,000",,
9/9/2017,UFC 215: Nunes vs. Shevchenko 2,"100,000",,
10/7/2017,UFC 216: Ferguson vs. Lee,"200,000",,
11/4/2017,UFC 217: Bisping vs. St-Pierre,"875,000",,
12/2/2017,UFC 218: Holloway vs. Aldo 2,"230,000",,
12/30/2017,UFC 219: Cyborg vs. Holm,"380,000",,
1/20/2018,UFC 220: Miocic vs. Ngannou,"350,000",,
2/11/2018,UFC 221: Romero vs. Rockhold,"130,000",,
3/3/2018,UFC 222: Cyborg vs. Kunitskaya,"260,000",,
4/7/2018,UFC 223: Khabib vs. Iaquinta,"350,000",,
5/12/2018,UFC 224: Nunes vs. Pennington,"85,000",,
6/9/2018,UFC 225: Whittaker vs. Romero 2,"250,000",,
7/7/2018,UFC 226: Miocic vs. Cormier,"380,000",,
8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,"300,000",,
9/8/2018,UFC 228: Woodley vs. Till,"130,000",,
10/6/2018,UFC 229: Khabib vs. McGregor,"2,400,000",,
11/3/2018,UFC 230: Cormier vs. Lewis,"250,000",,
12/8/2018,UFC 231: Holloway vs. Ortega,"300,000",,
12/29/2018,UFC 232: Jones vs. Gustafsson 2,"700,000",,
2/10/2019,UFC 234: Adesanya vs. Silva,"175,000",,
3/2/2019,UFC 235: Jones vs. Smith,"590,000",,
4/13/2019,UFC 236: Holloway vs. Poirier 2,"90,000",,
5/11/2019,UFC 237: Namajunas vs. Andrade,"110,000",,
6/8/2019,UFC 238: Cejudo vs. Moraes,"200,000",,
7/6/2019,UFC 239: Jones vs. Santos,N/A,,
7/27/2019,UFC 240: Holloway vs. Edgar,"270,000",,
8/17/2019,UFC 241: Cormier vs. Miocic 2,"600,000",,
9/7/2019,UFC 242: Khabib vs. Poirier,"1,000,000",,
10/5/2019,UFC 243: Whittaker vs. Adesanya,N/A,,
11/2/2019,UFC 244: Masvidal vs. Diaz,N/A,,
12/14/2019,UFC 245: Usman vs. Covington,N/A,,
1/18/2020,UFC 246: McGregor vs. Cowboy,"1,350,000",,
2/8/2020,UFC 247: Jones vs. Reyes,N/A,,
3/7/2020,UFC 248: Adesanya vs. Romero,N/A,,
5/9/2020,UFC 249: Ferguson vs. Gaethje,"700,000",,
6/6/2020,UFC 250: Nunes vs. Spencer,N/A,,
7/12/2020,UFC 251: Usman vs. Masvidal,"1,300,000",,
8/15/2020,UFC 252: Miocic vs. Cormier 3,"500,000",,
9/27/2020,UFC 253: Adesanya vs. Costa,"700,000",,
10/24/2020,UFC 254: Khabib vs. Gaethje,"675,000",,
11/21/2020,UFC 255: Figueiredo vs. Perez,N/A,,
12/12/2020,UFC 256: Figueiredo vs. Moreno,N/A,,
1/24/2021,UFC 257: Poirier vs. McGregor 2,"1,500,000",,
2/13/2021,UFC 258: Usman vs. Burns,N/A,,
3/6/2021,UFC 259: B?achowicz vs. Adesanya,"800,000",,
3/27/2021,UFC 260: Miocic vs. Ngannou 2,N/A,,
4/24/2021,UFC 261: Usman vs. Masvidal 2,"700,000",,
5/15/2021,UFC 262: Oliveira vs. Chandler,"300,000",,
6/12/2021,UFC 263: Adesanya vs. Vettori 2,"600,000",,
7/10/2021,UFC 264: Poirier vs. McGregor 3,"1,800,000",,
8/7/2021,UFC 265: Lewis vs. Gane,N/A,,
9/25/2021,UFC 266: Volkanovski vs. Ortega,N/A,,
10/30/2021,UFC 267: B?achowicz vs. Teixeira,N/A,,
11/6/2021,UFC 268: Usman vs. Covington 2,"700,000",,
12/11/2021,UFC 269: Oliveira vs. Poirier,"500,000",,
1/22/2022,UFC 270: Ngannou vs. Gane,N/A,,
2/12/2022,UFC 271: Adesanya vs. Whittaker 2,N/A,,
3/5/2022,UFC 272: Covington vs. Masvidal,N/A,,
4/9/2022,UFC 273: Volkanovski vs. The Korean Zombie,N/A,,
5/7/2022,UFC 274: Oliveira vs. Gaethje,"400,000",,
6/12/2022,UFC 275: Teixeira vs. Procházka,N/A,,
7/2/2022,UFC 276: Adesanya vs. Cannonier,"400,000",,
7/30/2022,UFC 277: Peña vs. Nunes 2,N/A,,
8/20/2022,UFC 278: Usman vs. Edwards 2,"360,000",,
9/10/2022,UFC 279: Diaz vs. Ferguson,N/A,,
10/22/2022,UFC 280: Oliveira vs. Makhachev,N/A,,
11/12/2022,UFC 281: Adesanya vs. Pereira,"600,000",,
12/10/2022,UFC 282: B?achowicz vs. Ankalaev,N/A,,
1/21/2023,UFC 283: Teixeira vs. Hill,N/A,,
2/12/2023,UFC 284: Makhachev vs. Volkanovski,N/A,,
3/4/2023,UFC 285: Jones vs. Gane,N/A,,
3/18/2023,UFC 286: Edwards vs. Usman 3,N/A,,
4/8/2023,UFC 287: Pereira vs. Adesanya 2,N/A,,
5/6/2023,UFC 288: Sterling vs. Cejudo,N/A,,
6/10/2023,UFC 289: Nunes vs. Aldana,N/A,,
7/8/2023,UFC 290: Volkanovski vs. Rodríguez,N/A,,
7/29/2023,UFC 291: Poirier vs. Gaethje 2,N/A,,
8/19/2023,UFC 292: Sterling vs. O'Malley,N/A,,
9/10/2023,UFC 293: Adesanya vs. Strickland,N/A,,
10/21/2023,UFC 294: Makhachev vs. Volkanovski 2,N/A,,
11/11/2023,UFC 295: Procházka vs. Pereira,N/A,,
12/16/2023,UFC 296: Edwards vs. Covington,N/A,,
1/20/2024,UFC 297: Strickland vs. du Plessis,N/A,,
2/17/2024,UFC 298: Volkanovski vs. Topuria,N/A,,
3/9/2024,UFC 299: O'Malley vs. Vera 2,N/A,,
4/13/2024,UFC 300: Pereira vs. Hill,N/A,,
5/4/2024,UFC 301: Pantoja vs. Erceg,N/A,,
6/1/2024,UFC 302: Makhachev vs. Poirier,N/A,,
6/29/2024,UFC 303: Pereira vs. Procházka 2,N/A,,
